.HEADER
..NAMES
Time,V U1.W2
.DATA
1.92418e-08,0.4968
1.92651e-08,0.4609
1.92883e-08,0.4092
1.93116e-08,0.3437
1.93349e-08,0.2709
1.93581e-08,0.1995
1.93814e-08,0.1360
1.94047e-08,0.0839
1.94279e-08,0.0444
1.94512e-08,0.0158
1.94745e-08,-0.0044
1.94977e-08,-0.0184
1.95210e-08,-0.0279
1.95443e-08,-0.0358
1.95675e-08,-0.0442
1.95908e-08,-0.0530
1.96141e-08,-0.0607
1.96373e-08,-0.0667
1.96606e-08,-0.0718
1.96839e-08,-0.0767
1.97071e-08,-0.0811
1.97304e-08,-0.0841
1.97537e-08,-0.0841
1.97769e-08,-0.0790
1.98002e-08,-0.0663
1.98235e-08,-0.0464
1.98468e-08,-0.0216
1.98700e-08,0.0042
1.98933e-08,0.0266
1.99166e-08,0.0430
1.99398e-08,0.0533
1.99631e-08,0.0749
1.99864e-08,0.1375
2.00096e-08,0.2842
2.00329e-08,0.4235
2.00562e-08,0.5215
2.00794e-08,0.5945
2.01027e-08,0.6374
2.01260e-08,0.6615
2.01492e-08,0.6732
2.01725e-08,0.6781
2.01958e-08,0.6811
2.02190e-08,0.6837
2.02423e-08,0.6876
2.02656e-08,0.6915
2.02888e-08,0.6940
2.03121e-08,0.6928
2.03354e-08,0.6855
2.03586e-08,0.6532
2.03819e-08,0.5947
2.04052e-08,0.4466
2.04284e-08,0.2777
2.04517e-08,0.1530
2.04750e-08,0.0569
2.04982e-08,0.0069
2.05215e-08,0.0071
2.05448e-08,0.0431
2.05680e-08,0.1031
2.05913e-08,0.1759
2.06146e-08,0.2489
2.06378e-08,0.3153
2.06611e-08,0.3719
2.06844e-08,0.4171
2.07076e-08,0.4518
2.07309e-08,0.4791
2.07542e-08,0.4995
2.07774e-08,0.5170
2.08007e-08,0.5650
2.08240e-08,0.7275
2.08472e-08,0.9347
2.08705e-08,1.0862
2.08938e-08,1.1852
2.09170e-08,1.2227
2.09403e-08,1.2157
2.09636e-08,1.1769
2.09868e-08,1.1130
2.10101e-08,1.0368
2.10334e-08,0.9564
2.10566e-08,0.8756
2.10799e-08,0.7990
2.11032e-08,0.7294
2.11264e-08,0.6696
2.11497e-08,0.6200
2.11730e-08,0.5810
2.11962e-08,0.5299
2.12195e-08,0.4664
2.12428e-08,0.3092
2.12660e-08,0.1590
2.12893e-08,0.0477
2.13126e-08,-0.0313
2.13358e-08,-0.0692
2.13591e-08,-0.0525
2.13824e-08,-0.0041
2.14056e-08,0.0660
2.14289e-08,0.1479
2.14522e-08,0.2314
2.14754e-08,0.3123
2.14987e-08,0.3857
2.15220e-08,0.4493
2.15452e-08,0.5035
2.15685e-08,0.5490
2.15918e-08,0.5850
2.16150e-08,0.6125
2.16383e-08,0.6316
2.16616e-08,0.6433
2.16848e-08,0.6490
2.17081e-08,0.6460
2.17314e-08,0.6287
2.17546e-08,0.5959
2.17779e-08,0.5488
2.18012e-08,0.4868
2.18244e-08,0.4130
2.18477e-08,0.3340
2.18710e-08,0.2535
2.18942e-08,0.1749
2.19175e-08,0.1030
2.19408e-08,0.0397
2.19640e-08,-0.0134
2.19873e-08,-0.0543
2.20106e-08,-0.0834
2.20338e-08,-0.1032
2.20571e-08,-0.1162
2.20804e-08,-0.1238
2.21037e-08,-0.1268
2.21269e-08,-0.1266
2.21502e-08,-0.1247
2.21735e-08,-0.1223
2.21967e-08,-0.1192
2.22200e-08,-0.1150
2.22433e-08,-0.1093
2.22665e-08,-0.1007
2.22898e-08,-0.0872
2.23131e-08,-0.0688
2.23363e-08,-0.0468
2.23596e-08,-0.0226
2.23829e-08,0.0017
2.24061e-08,0.0242
2.24294e-08,0.0440
2.24527e-08,0.0599
2.24759e-08,0.0704
2.24992e-08,0.0754
2.25225e-08,0.0758
2.25457e-08,0.0725
2.25690e-08,0.0669
2.25923e-08,0.0600
2.26155e-08,0.0530
2.26388e-08,0.0465
2.26621e-08,0.0406
2.26853e-08,0.0356
2.27086e-08,0.0318
2.27319e-08,0.0293
2.27551e-08,0.0278
2.27784e-08,0.0259
2.28017e-08,0.0227
2.28249e-08,0.0175
2.28482e-08,0.0105
2.28715e-08,0.0122
2.28947e-08,0.0431
2.29180e-08,0.1524
2.29413e-08,0.2960
2.29645e-08,0.4034
2.29878e-08,0.4846
2.30111e-08,0.5437
2.30343e-08,0.5814
2.30576e-08,0.6031
2.30809e-08,0.6183
2.31041e-08,0.6296
2.31274e-08,0.6388
2.31507e-08,0.6474
2.31739e-08,0.6546
2.31972e-08,0.6601
2.32205e-08,0.6642
2.32437e-08,0.6652
2.32670e-08,0.6518
2.32903e-08,0.6183
2.33135e-08,0.5093
2.33368e-08,0.3553
2.33601e-08,0.2178
2.33833e-08,0.1140
2.34066e-08,0.0488
2.34299e-08,0.0339
2.34531e-08,0.0518
2.34764e-08,0.0957
2.34997e-08,0.1574
2.35229e-08,0.2247
2.35462e-08,0.2889
2.35695e-08,0.3461
2.35927e-08,0.3933
2.36160e-08,0.4302
2.36393e-08,0.4592
2.36625e-08,0.4823
2.36858e-08,0.4999
2.37091e-08,0.5127
2.37323e-08,0.5229
2.37556e-08,0.5333
2.37789e-08,0.5436
2.38021e-08,0.5473
2.38254e-08,0.5373
2.38487e-08,0.5117
2.38719e-08,0.4697
2.38952e-08,0.4113
2.39185e-08,0.3426
2.39417e-08,0.2705
2.39650e-08,0.1981
2.39883e-08,0.1290
2.40115e-08,0.0666
2.40348e-08,0.0126
2.40581e-08,-0.0311
2.40813e-08,-0.0628
2.41046e-08,-0.0832
2.41279e-08,-0.0957
2.41511e-08,-0.1028
2.41744e-08,-0.1051
2.41977e-08,-0.1037
2.42209e-08,-0.1006
2.42442e-08,-0.0977
2.42675e-08,-0.0966
2.42907e-08,-0.0974
2.43140e-08,-0.0992
2.43373e-08,-0.0999
2.43605e-08,-0.0959
2.43838e-08,-0.0847
2.44071e-08,-0.0668
2.44303e-08,-0.0442
2.44536e-08,-0.0195
2.44769e-08,0.0045
2.45002e-08,0.0260
2.45234e-08,0.0459
2.45467e-08,0.0813
2.45700e-08,0.1626
2.45932e-08,0.3352
2.46165e-08,0.4713
2.46398e-08,0.5754
2.46630e-08,0.6401
2.46863e-08,0.6722
2.47096e-08,0.6872
