.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
1.66359e-08,0.5370
1.66592e-08,0.5470
1.66824e-08,0.5464
1.67057e-08,0.5388
1.67290e-08,0.5331
1.67522e-08,0.5323
1.67755e-08,0.5307
1.67988e-08,0.5247
1.68220e-08,0.5247
1.68453e-08,0.5704
1.68686e-08,0.7351
1.68918e-08,0.9280
1.69151e-08,1.0530
1.69384e-08,1.1470
1.69616e-08,1.2097
1.69849e-08,1.2470
1.70082e-08,1.2594
1.70314e-08,1.2427
1.70547e-08,1.2171
1.70780e-08,1.2002
1.71012e-08,1.1952
1.71245e-08,1.1965
1.71478e-08,1.1950
1.71710e-08,1.1891
1.71943e-08,1.1861
1.72176e-08,1.1879
1.72408e-08,1.1567
1.72641e-08,1.0888
1.72874e-08,0.9189
1.73106e-08,0.7681
1.73339e-08,0.6695
1.73572e-08,0.6005
1.73804e-08,0.5520
1.74037e-08,0.5202
1.74270e-08,0.5103
1.74502e-08,0.5232
1.74735e-08,0.5396
1.74968e-08,0.5477
1.75201e-08,0.5452
1.75433e-08,0.5374
1.75666e-08,0.5327
1.75899e-08,0.5324
1.76131e-08,0.5298
1.76364e-08,0.5235
1.76597e-08,0.5279
1.76829e-08,0.5877
1.77062e-08,0.7766
1.77295e-08,0.9551
1.77527e-08,1.0784
1.77760e-08,1.1610
1.77993e-08,1.2176
1.78225e-08,1.2524
1.78458e-08,1.2580
1.78691e-08,1.2376
1.78923e-08,1.2128
1.79156e-08,1.1984
1.79389e-08,1.1953
1.79621e-08,1.1966
1.79854e-08,1.1941
1.80087e-08,1.1881
1.80319e-08,1.1863
1.80552e-08,1.1843
1.80785e-08,1.1483
1.81017e-08,1.0616
1.81250e-08,0.8861
1.81483e-08,0.7463
1.81715e-08,0.6543
1.81948e-08,0.5897
1.82181e-08,0.5445
1.82413e-08,0.5160
1.82646e-08,0.5114
1.82879e-08,0.5267
1.83111e-08,0.5421
1.83344e-08,0.5479
1.83577e-08,0.5438
1.83809e-08,0.5360
1.84042e-08,0.5325
1.84275e-08,0.5324
1.84507e-08,0.5286
1.84740e-08,0.5225
1.84973e-08,0.5335
1.85205e-08,0.6155
1.85438e-08,0.8167
1.85671e-08,0.9804
1.85903e-08,1.0948
1.86136e-08,1.1725
1.86369e-08,1.2259
1.86601e-08,1.2555
1.86834e-08,1.2552
1.87067e-08,1.2322
1.87299e-08,1.2090
1.87532e-08,1.1971
1.87765e-08,1.1956
1.87997e-08,1.1966
1.88230e-08,1.1930
1.88463e-08,1.1872
1.88695e-08,1.1867
1.88928e-08,1.1800
1.89161e-08,1.1375
1.89393e-08,1.0295
1.89626e-08,0.8543
1.89859e-08,0.7230
1.90091e-08,0.6401
1.90324e-08,0.5798
1.90557e-08,0.5366
1.90789e-08,0.5131
1.91022e-08,0.5136
1.91255e-08,0.5304
1.91487e-08,0.5442
1.91720e-08,0.5479
1.91953e-08,0.5422
1.92185e-08,0.5348
1.92418e-08,0.5324
1.92651e-08,0.5321
1.92883e-08,0.5274
1.93116e-08,0.5217
1.93349e-08,0.5407
1.93581e-08,0.6480
1.93814e-08,0.8596
1.94047e-08,1.0038
1.94279e-08,1.1116
1.94512e-08,1.1882
1.94745e-08,1.2330
1.94977e-08,1.2576
1.95210e-08,1.2518
1.95443e-08,1.2271
1.95675e-08,1.2057
1.95908e-08,1.1962
1.96141e-08,1.1960
1.96373e-08,1.1963
1.96606e-08,1.1918
1.96839e-08,1.1866
1.97071e-08,1.1873
1.97304e-08,1.1731
1.97537e-08,1.1259
1.97769e-08,0.9939
1.98002e-08,0.8215
1.98235e-08,0.7043
1.98468e-08,0.6255
1.98700e-08,0.5702
1.98933e-08,0.5302
1.99166e-08,0.5110
1.99398e-08,0.5162
1.99631e-08,0.5338
1.99864e-08,0.5458
2.00096e-08,0.5474
2.00329e-08,0.5406
2.00562e-08,0.5339
2.00794e-08,0.5324
2.01027e-08,0.5316
2.01260e-08,0.5261
2.01492e-08,0.5226
2.01725e-08,0.5518
2.01958e-08,0.6881
2.02190e-08,0.8902
2.02423e-08,1.0325
2.02656e-08,1.1306
2.02888e-08,1.1976
2.03121e-08,1.2406
2.03354e-08,1.2589
2.03586e-08,1.2476
2.03819e-08,1.2221
2.04052e-08,1.2028
2.04284e-08,1.1956
2.04517e-08,1.1963
2.04750e-08,1.1958
2.04982e-08,1.1905
2.05215e-08,1.1863
2.05448e-08,1.1880
2.05680e-08,1.1657
2.05913e-08,1.1071
2.06146e-08,0.9548
2.06378e-08,0.7948
2.06611e-08,0.6872
2.06844e-08,0.6136
2.07076e-08,0.5612
2.07309e-08,0.5248
2.07542e-08,0.5100
2.07774e-08,0.5194
2.08007e-08,0.5368
2.08240e-08,0.5469
2.08472e-08,0.5465
2.08705e-08,0.5391
2.08938e-08,0.5333
2.09170e-08,0.5324
2.09403e-08,0.5308
2.09636e-08,0.5248
2.09868e-08,0.5248
2.10101e-08,0.5703
2.10334e-08,0.7325
2.10566e-08,0.9231
2.10799e-08,1.0518
2.11032e-08,1.1450
2.11264e-08,1.2077
2.11497e-08,1.2457
2.11730e-08,1.2587
2.11962e-08,1.2428
2.12195e-08,1.2175
2.12428e-08,1.2004
2.12660e-08,1.1953
2.12893e-08,1.1966
2.13126e-08,1.1951
2.13358e-08,1.1893
2.13591e-08,1.1862
2.13824e-08,1.1879
2.14056e-08,1.1571
2.14289e-08,1.0912
2.14522e-08,0.9209
2.14754e-08,0.7699
2.14987e-08,0.6706
2.15220e-08,0.6010
2.15452e-08,0.5518
2.15685e-08,0.5203
2.15918e-08,0.5102
2.16150e-08,0.5228
2.16383e-08,0.5393
2.16616e-08,0.5476
2.16848e-08,0.5454
2.17081e-08,0.5377
2.17314e-08,0.5329
2.17546e-08,0.5325
2.17779e-08,0.5299
2.18012e-08,0.5237
2.18244e-08,0.5280
2.18477e-08,0.5861
2.18710e-08,0.7745
2.18942e-08,0.9507
2.19175e-08,1.0762
2.19408e-08,1.1610
2.19640e-08,1.2159
2.19873e-08,1.2513
2.20106e-08,1.2576
2.20338e-08,1.2378
2.20571e-08,1.2132
2.20804e-08,1.1985
2.21037e-08,1.1953
2.21269e-08,1.1967
2.21502e-08,1.1943
2.21735e-08,1.1883
2.21967e-08,1.1864
2.22200e-08,1.1843
2.22433e-08,1.1487
2.22665e-08,1.0618
2.22898e-08,0.8880
2.23131e-08,0.7477
2.23363e-08,0.6547
2.23596e-08,0.5899
2.23829e-08,0.5442
2.24061e-08,0.5160
2.24294e-08,0.5112
2.24527e-08,0.5263
2.24759e-08,0.5419
2.24992e-08,0.5480
2.25225e-08,0.5440
2.25457e-08,0.5363
2.25690e-08,0.5326
2.25923e-08,0.5324
2.26155e-08,0.5287
2.26388e-08,0.5227
2.26621e-08,0.5333
2.26853e-08,0.6124
2.27086e-08,0.8140
2.27319e-08,0.9778
2.27551e-08,1.0932
2.27784e-08,1.1727
2.28017e-08,1.2245
2.28249e-08,1.2548
2.28482e-08,1.2550
2.28715e-08,1.2326
2.28947e-08,1.2094
2.29180e-08,1.1971
2.29413e-08,1.1955
2.29645e-08,1.1966
2.29878e-08,1.1932
2.30111e-08,1.1874
2.30343e-08,1.1867
2.30576e-08,1.1804
2.30809e-08,1.1383
2.31041e-08,1.0305
2.31274e-08,0.8565
2.31507e-08,0.7234
2.31739e-08,0.6402
2.31972e-08,0.5793
2.32205e-08,0.5364
2.32437e-08,0.5129
2.32670e-08,0.5132
2.32903e-08,0.5299
2.33135e-08,0.5441
2.33368e-08,0.5480
2.33601e-08,0.5425
2.33833e-08,0.5351
2.34066e-08,0.5325
2.34299e-08,0.5321
2.34531e-08,0.5275
2.34764e-08,0.5219
2.34997e-08,0.5403
2.35229e-08,0.6455
2.35462e-08,0.8539
2.35695e-08,1.0017
2.35927e-08,1.1104
